"Ticket","Division"
"19018099999900483388","DEPORTE ACUATICO"
"19018099999900495419","DEPORTE ACUATICO"
"19018099999900497631","DEPORTE ACUATICO"
"19018099999900502182","DEPORTE ACUATICO"
"19018099999900506500","DEPORTE ACUATICO"
"19018099999900509661","DEPORTE ACUATICO"
"19018099999900522118","DEPORTE ACUATICO"
"19018099999900503024","DEPORTE ACUATICO"
"19018099999900497598","DEPORTE ACUATICO"
"19018099999900497187","DEPORTE ACUATICO"
"19018099999900500737","DEPORTE ACUATICO"
"19018099999900522080","DEPORTE ACUATICO"
"19018099999900494612","DEPORTE ACUATICO"
"19018099999900485830","DEPORTE ACUATICO"
"19018099999900494948","DEPORTE ACUATICO"
"19018099999900522367","DEPORTE ACUATICO"
"19018099999900517203","DEPORTE ACUATICO"
"19018099999900513127","DEPORTE ACUATICO"
"19018099999900502869","DEPORTE ACUATICO"
"19018099999900497312","DEPORTE ACUATICO"
"19018099999900489646","DEPORTE ACUATICO"
"19018099999900476371","DEPORTE ACUATICO"
"19018099999900517022","DEPORTE ACUATICO"
"19018099999900489931","DEPORTE ACUATICO"
"19018099999900497190","DEPORTE ACUATICO"
"19018099999900497187","DEPORTE ACUATICO"
"19018099999900508160","DEPORTE ACUATICO"
"19018099999900489933","DEPORTE ACUATICO"
"19018099999900487737","DEPORTE ACUATICO"
"19018099999900479331","DEPORTE ACUATICO"
"19018099999900482820","DEPORTE ACUATICO"
"19018099999900521446","DEPORTE ACUATICO"
"19018099999900516995","DEPORTE ACUATICO"
"19018099999900496519","DEPORTE ACUATICO"
"19018099999900503816","DEPORTE ACUATICO"
"19018099999900482295","DEPORTE ACUATICO"
"19018099999900474082","DEPORTE ACUATICO"
"19018099999900483416","DEPORTE ACUATICO"
"19018099999900474986","DEPORTE ACUATICO"
"19018099999900490975","DEPORTE ACUATICO"
"19018099999900489646","DEPORTE ACUATICO"
"19018099999900477590","DEPORTE ACUATICO"
"19018099999900496094","DEPORTE ACUATICO"
"19018099999900497312","DEPORTE ACUATICO"
"19018099999900477593","DEPORTE ACUATICO"
"19018099999900524333","DEPORTE ACUATICO"
"19018099999900482662","DEPORTE ACUATICO"
"19018099999900524333","DEPORTE ACUATICO"
"19018099999900508886","DEPORTE ACUATICO"
"19018099999900508163","DEPORTE ACUATICO"
"19018099999900514209","DEPORTE ACUATICO"
"19018099999900522866","DEPORTE ACUATICO"
"19018099999900490591","DEPORTE ACUATICO"
"19018099999900498276","DEPORTE ACUATICO"
"19018099999900473983","DEPORTE ACUATICO"
"19018099999900495138","DEPORTE ACUATICO"
"19018099999900485641","DEPORTE ACUATICO"
"19018099999900497529","DEPORTE ACUATICO"
"19018099999900489646","DEPORTE ACUATICO"
"19018099999900515676","DEPORTE ACUATICO"
"19018099999900491502","DEPORTE ACUATICO"
"19018099999900502612","DEPORTE ACUATICO"
"19018099999900498179","DEPORTE ACUATICO"
"19018099999900511516","DEPORTE ACUATICO"
"19018099999900509918","DEPORTE ACUATICO"
"19018099999900475010","DEPORTE ACUATICO"
"19018099999900515003","DEPORTE ACUATICO"
"19018099999900477203","DEPORTE ACUATICO"
"19018099999900492767","DEPORTE ACUATICO"
"19018099999900531497","DEPORTE ACUATICO"
"19018099999900476760","DEPORTE ACUATICO"
"19018099999900522116","DEPORTE ACUATICO"
"19018099999900491441","DEPORTE ACUATICO"
"19018099999900511976","DEPORTE ACUATICO"
"19018099999900482579","DEPORTE ACUATICO"
"19018099999900518770","DEPORTE ACUATICO"
"19018099999900503805","DEPORTE ACUATICO"
"19018099999900481584","DEPORTE ACUATICO"
"19018099999900517143","DEPORTE ACUATICO"
"19018099999900481685","DEPORTE ACUATICO"
"19018099999900479327","DEPORTE ACUATICO"
"19018099999900488113","DEPORTE ACUATICO"
"19018099999900476483","DEPORTE ACUATICO"
"19018099999900477848","DEPORTE ACUATICO"
"19018099999900489001","DEPORTE ACUATICO"
"19018099999900495638","DEPORTE ACUATICO"
"19018099999900518779","DEPORTE ACUATICO"
"19018099999900474986","DEPORTE ACUATICO"
"19018099999900528280","DEPORTE ACUATICO"
"19018099999900516646","DEPORTE ACUATICO"
"19018099999900475794","DEPORTE ACUATICO"
"19018099999900482579","DEPORTE ACUATICO"
"19018099999900527839","DEPORTE ACUATICO"
"19018099999900489864","DEPORTE ACUATICO"
"19018099999900488726","DEPORTE ACUATICO"
"19018099999900515104","DEPORTE ACUATICO"
"19018099999900520606","DEPORTE ACUATICO"
"19018099999900532511","DEPORTE ACUATICO"
"19018099999900497630","DEPORTE ACUATICO"
"19018099999900494158","DEPORTE ACUATICO"
"19018099999900483225","DEPORTE ACUATICO"
"19018099999900524687","DEPORTE ACUATICO"
"19018099999900483044","DEPORTE ACUATICO"
"19018099999900486505","DEPORTE ACUATICO"
"19018099999900531655","DEPORTE ACUATICO"
"19018099999900511515","DEPORTE ACUATICO"
"19018099999900515385","DEPORTE ACUATICO"
"19018099999900487588","DEPORTE ACUATICO"
"19018099999900505435","DEPORTE ACUATICO"
"19018099999900477477","DEPORTE ACUATICO"
"19018099999900480526","DEPORTE ACUATICO"
"19018099999900474242","DEPORTE ACUATICO"
"19018099999900515402","DEPORTE ACUATICO"
"19018099999900484887","DEPORTE ACUATICO"
"19018099999900529823","DEPORTE ACUATICO"
"19018099999900535226","DEPORTE ACUATICO"
"19018099999900481689","DEPORTE ACUATICO"
"19018099999900502810","DEPORTE ACUATICO"
"19018099999900498191","DEPORTE ACUATICO"
"19018099999900505903","DEPORTE ACUATICO"
"19018099999900494490","DEPORTE ACUATICO"
"19018099999900485949","DEPORTE ACUATICO"
"19018099999900496091","DEPORTE ACUATICO"
"19018099999900489933","DEPORTE ACUATICO"
"19018099999900499008","DEPORTE ACUATICO"
"19018099999900475021","DEPORTE ACUATICO"
"19018099999900486189","DEPORTE ACUATICO"
"19018099999900480510","DEPORTE ACUATICO"
"19018099999900481253","DEPORTE ACUATICO"
"19018099999900481253","DEPORTE ACUATICO"
"19018099999900503681","DEPORTE ACUATICO"
"19018099999900492177","DEPORTE ACUATICO"
"19018099999900521692","DEPORTE ACUATICO"
"19018099999900488156","DEPORTE ACUATICO"
"19018099999900492618","DEPORTE ACUATICO"
"19018099999900486538","DEPORTE ACUATICO"
"19018099999900501091","DEPORTE ACUATICO"
"19018099999900514209","DEPORTE ACUATICO"
"19018099999900499422","DEPORTE ACUATICO"
"19018099999900504797","DEPORTE ACUATICO"
"19018099999900522116","DEPORTE ACUATICO"
"19018099999900517202","DEPORTE ACUATICO"
"19018099999900492297","DEPORTE ACUATICO"
"19018099999900476371","DEPORTE ACUATICO"
"19018099999900505020","DEPORTE ACUATICO"
"19018099999900485173","DEPORTE ACUATICO"
"19018099999900502182","DEPORTE ACUATICO"
"19018099999900511362","DEPORTE ACUATICO"
"19018099999900486698","DEPORTE ACUATICO"
"19018099999900497520","DEPORTE ACUATICO"
"19018099999900494518","DEPORTE ACUATICO"
"19018099999900481350","DEPORTE ACUATICO"
"19018099999900484390","DEPORTE ACUATICO"
"19018099999900485857","DEPORTE ACUATICO"
"19018099999900477633","DEPORTE ACUATICO"
"19018099999900488115","DEPORTE ACUATICO"
"19018099999900504980","DEPORTE ACUATICO"
"19018099999900485806","DEPORTE ACUATICO"
"19018099999900501274","DEPORTE ACUATICO"
"19018099999900480075","DEPORTE ACUATICO"
"19018099999900499007","DEPORTE ACUATICO"
"19018099999900504887","DEPORTE ACUATICO"
"19018099999900499007","DEPORTE ACUATICO"
"19018099999900487005","DEPORTE ACUATICO"
"19018099999900523612","DEPORTE ACUATICO"
"19018099999900487848","DEPORTE ACUATICO"
"19018099999900526293","DEPORTE ACUATICO"
"19018099999900481881","DEPORTE ACUATICO"
"19018099999900484871","DEPORTE ACUATICO"
"19018099999900478267","DEPORTE ACUATICO"
"19018099999900501148","DEPORTE ACUATICO"
"19018099999900533931","DEPORTE ACUATICO"
"19018099999900488076","DEPORTE ACUATICO"
"19018099999900526879","DEPORTE ACUATICO"
"19018099999900533470","DEPORTE ACUATICO"
"19018099999900519523","DEPORTE ACUATICO"
"19018099999900490972","DEPORTE ACUATICO"
"19018099999900511769","DEPORTE ACUATICO"
"19018099999900477472","DEPORTE ACUATICO"
"19018099999900505001","DEPORTE ACUATICO"
"19018099999900480831","DEPORTE ACUATICO"
"19018099999900521446","DEPORTE ACUATICO"
"19018099999900497619","DEPORTE ACUATICO"
"19018099999900480677","DEPORTE ACUATICO"
"19018099999900499752","DEPORTE ACUATICO"
"19018099999900509161","DEPORTE ACUATICO"
"19018099999900506289","DEPORTE ACUATICO"
"19018099999900484856","DEPORTE ACUATICO"
"19018099999900535229","DEPORTE ACUATICO"
"19018099999900497756","DEPORTE ACUATICO"
"19018099999900521536","DEPORTE ACUATICO"
"19018099999900508163","DEPORTE ACUATICO"
"19018099999900485763","DEPORTE ACUATICO"
"19018099999900511516","DEPORTE ACUATICO"
"19018099999900522866","DEPORTE ACUATICO"
"19018099999900501401","DEPORTE ACUATICO"
"19018099999900512498","DEPORTE ACUATICO"
"19018099999900536696","DEPORTE ACUATICO"
"19018099999900492712","DEPORTE ACUATICO"
"19018099999900511297","DEPORTE ACUATICO"
"19018099999900508882","DEPORTE ACUATICO"
"19018099999900523504","DEPORTE ACUATICO"
"19018099999900497988","DEPORTE ACUATICO"
"19018099999900475796","DEPORTE ACUATICO"
"19018099999900507241","DEPORTE ACUATICO"
"19018099999900492297","DEPORTE ACUATICO"
"19018099999900492767","DEPORTE ACUATICO"
"19018099999900512498","DEPORTE ACUATICO"
"19018099999900500200","DEPORTE ACUATICO"
"19018099999900489794","DEPORTE ACUATICO"
"19018099999900496848","DEPORTE ACUATICO"
"19018099999900507893","DEPORTE ACUATICO"
"19018099999900482397","DEPORTE ACUATICO"
"19018099999900473833","DEPORTE ACUATICO"
"19018099999900536595","DEPORTE ACUATICO"
"19018099999900515026","DEPORTE ACUATICO"
"19018099999900489315","DEPORTE ACUATICO"
"19018099999900488840","DEPORTE ACUATICO"
"19018099999900492024","DEPORTE ACUATICO"
"19018099999900487037","DEPORTE ACUATICO"
"19018099999900485514","DEPORTE ACUATICO"
"19018099999900524938","DEPORTE ACUATICO"
"19018099999900495343","DEPORTE ACUATICO"
"19018099999900475300","DEPORTE ACUATICO"
"19018099999900511515","DEPORTE ACUATICO"
"19018099999900474242","DEPORTE ACUATICO"
"19018099999900500939","DEPORTE ACUATICO"
"19018099999900534414","DEPORTE ACUATICO"
"19018099999900523170","DEPORTE ACUATICO"
"19018099999900501404","DEPORTE ACUATICO"
"19018099999900518307","DEPORTE ACUATICO"
"19018099999900522076","DEPORTE ACUATICO"
"19018099999900479331","DEPORTE ACUATICO"
"19018099999900492880","DEPORTE ACUATICO"
"19018099999900533575","DEPORTE ACUATICO"
"19018099999900477845","DEPORTE ACUATICO"
"19018099999900502182","DEPORTE ACUATICO"
"19018099999900496848","DEPORTE ACUATICO"
"19018099999900487413","DEPORTE ACUATICO"
"19018099999900502810","DEPORTE ACUATICO"
"19018099999900487118","DEPORTE ACUATICO"
"19018099999900497187","DEPORTE ACUATICO"
"19018099999900494126","DEPORTE ACUATICO"
"19018099999900534455","DEPORTE ACUATICO"
"19018099999900498751","DEPORTE ACUATICO"
