"Invoice","item"
1,"citrus fruit"
2,"tropical fruit"
3,"whole milk"
4,"pip fruit"
6,"whole milk"
7,"abrasive cleaner"
8,"rolls/buns"
10,"liquor (appetizer)"
11,"potted plants"
12,"whole milk"
13,"tropical fruit"
14,"chocolate"
15,"citrus fruit"
16,"curd"
17,"dishes"
18,"beef"
19,"frankfurter"
20,"chicken"
21,"butter"
22,"fruit/vegetable juice"
23,"packaged fruit/vegetables"
24,"chocolate"
25,"specialty bar"
27,"butter milk"
28,"whole milk"
29,"tropical fruit"
30,"newspapers"
31,"tropical fruit"
32,"rolls/buns"
33,"waffles"
34,"bottled water"
35,"yogurt"
36,"sausage"
38,"brown bread"
39,"newspapers"
40,"yogurt"
41,"hamburger meat"
42,"bottled water"
43,"root vegetables"
44,"sugar"
45,"pork"
46,"whipped/sour cream"
47,"beef"
48,"pastry"
49,"fruit/vegetable juice"
50,"canned beer"
51,"root vegetables"
52,"citrus fruit"
53,"sausage"
54,"specialty bar"
55,"tropical fruit"
56,"domestic eggs"
57,"cereals"
58,"candy"
59,"berries"
60,"canned beer"
61,"butter milk"
62,"rolls/buns"
63,"coffee"
64,"pastry"
65,"rolls/buns"
66,"misc. beverages"
67,"root vegetables"
68,"whipped/sour cream"
69,"bottled water"
70,"sausage"
71,"canned beer"
72,"ham"
73,"turkey"
74,"domestic eggs"
75,"baking powder"
76,"whole milk"
77,"soda"
78,"whole milk"
79,"packaged fruit/vegetables"
80,"rolls/buns"
81,"chocolate marshmallow"
82,"ham"
83,"rolls/buns"
84,"rolls/buns"
86,"salty snack"
87,"sausage"
88,"sausage"
89,"frankfurter"
90,"sugar"
91,"rolls/buns"
92,"whole milk"
93,"curd cheese"
94,"red/blush wine"
95,"sausage"
96,"tropical fruit"
97,"frozen potato products"
98,"red/blush wine"
99,"whole milk"
100,"specialty chocolate"
101,"frankfurter"
102,"oil"
103,"whole milk"
104,"frozen potato products"
106,"citrus fruit"
107,"pastry"
108,"flour"
109,"bottled beer"
110,"sugar"
111,"frozen meals"
112,"chocolate"
113,"root vegetables"
114,"rolls/buns"
115,"fruit/vegetable juice"
116,"root vegetables"
117,"herbs"
118,"oil"
119,"bottled water"
120,"sausage"
121,"rolls/buns"
122,"coffee"
123,"pork"
124,"berries"
125,"soda"
126,"berries"
127,"fruit/vegetable juice"
128,"citrus fruit"
129,"pork"
130,"onions"
131,"chocolate"
132,"detergent"
133,"grapes"
134,"sausage"
135,"fruit/vegetable juice"
136,"shopping bags"
137,"chicken"
138,"root vegetables"
139,"oil"
140,"whole milk"
141,"citrus fruit"
142,"soda"
143,"sausage"
144,"rolls/buns"
145,"bathroom cleaner"
146,"frankfurter"
147,"sausage"
148,"fruit/vegetable juice"
149,"photo/film"
150,"soda"
151,"rolls/buns"
152,"beef"
153,"brown bread"
154,"whole milk"
155,"waffles"
156,"processed cheese"
157,"tropical fruit"
158,"frankfurter"
159,"rolls/buns"
160,"chewing gum"
161,"packaged fruit/vegetables"
162,"whole milk"
163,"margarine"
164,"berries"
165,"citrus fruit"
166,"tropical fruit"
167,"hamburger meat"
