"COMMODITY_DESC","PRODUCT_ID","BASKET_ID","DEPARTMENT"
"CUIDADO DEL AIRE",27021,30754188706,"GROCERY"
"CUIDADO DEL AIRE",284161,31363375004,"GROCERY"
"ANALGESICO",134159,30541880783,"DRUG GM"
"ANALGESICO",9529874,40138197783,"DRUG GM"
"TOCINO",6517506,32055927313,"MEAT-PCKGD"
"TOCINO",129005,35003630682,"MEAT-PCKGD"
"TOCINO",129005,35488996868,"MEAT-PCKGD"
"SNACKS",30177,33170877635,"GROCERY"
"SNACKS",7189922,27288377026,"GROCERY"
"SNACKS",33247,40414667703,"GROCERY"
"SNACKS",432389,40414667703,"GROCERY"
"SNACKS",9400535,29776317638,"GROCERY"
"SNACKS",15781102,40463326886,"GROCERY"
"SNACKS",250043,31363375004,"GROCERY"
"SNACKS",412338,32055927313,"GROCERY"
"SNACKS",10124702,29776317638,"GROCERY"
"SNACKS",13218088,32718722056,"GROCERY"
"SNACKS",10124702,28680515735,"GROCERY"
"SNACKS",33247,33170877635,"GROCERY"
"SNACKS",9400840,27771857605,"GROCERY"
"SNACKS",86652,28680515735,"GROCERY"
"SNACKS",10124702,29531116865,"GROCERY"
"SNACKS",86652,31363375004,"GROCERY"
"SNACKS",9400799,27771857605,"GROCERY"
"SNACKS",250043,31544502476,"GROCERY"
"PAN",50455,29186005963,"GROCERY"
"PAN",27658,29531116865,"GROCERY"
"PAN",339470,33170877635,"GROCERY"
"PAN",50455,31427002805,"GROCERY"
"PAN",6608489,35488996868,"GROCERY"
"PAN",27479,30590802826,"GROCERY"
"PAN",50455,27496106798,"GROCERY"
"PAN",50455,28349822785,"GROCERY"
"PAN",339470,35160422961,"GROCERY"
"PAN",32384,27771857605,"GROCERY"
"PAN",48065,27288377026,"GROCERY"
"PAN",100896,32496221577,"GROCERY"
"PAN",112553,42142311779,"GROCERY"
"PAN",46392,29531116865,"GROCERY"
"PAN",234687,27771857605,"GROCERY"
"PAN",10186317,32718722056,"GROCERY"
"PAN",413715,32718722056,"GROCERY"
"PAN",112553,40499462973,"GROCERY"
"PAN",37913,35704195124,"GROCERY"
"PAN",107837,35704195124,"GROCERY"
"REPOSTERIA",83822,29144608214,"GROCERY"
"REPOSTERIA",66367,32496221577,"GROCERY"
"REPOSTERIA",51766,28143956007,"GROCERY"
"REPOSTERIA",107467,32496221577,"GROCERY"
"RES",12325443,33682991526,"MEAT"
"RES",9807181,29302837658,"MEAT"
"RES",9807181,35160422961,"MEAT"
"RES",190064,27471976071,"MEAT"
"RES",9807181,31204545817,"MEAT"
"RES",209999,28071976389,"MEAT"
"RES",9807181,31544502476,"MEAT"
"RES",9807181,29513422261,"MEAT"
"RES",9807181,32209327507,"MEAT"
"RES",9807181,31911155580,"MEAT"
"RES",12325406,29513422261,"MEAT"
"RES",12325251,40499462973,"MEAT"
"RES",12325406,32826516981,"MEAT"
"RES",12325108,33170877635,"MEAT"
"RES",12325406,30912300033,"MEAT"
"RES",9807181,35846342418,"MEAT"
"CERVEZAS",93003,31753308790,"GROCERY"
"CERVEZAS",66638,31634832799,"GROCERY"
"CERVEZAS",55201,29531116865,"GROCERY"
"CERVEZAS",93003,31634832799,"GROCERY"
"CERVEZAS",221474,29776317638,"GROCERY"
"CERVEZAS",101414,32718722056,"GROCERY"
"BAYAS",188978,41655820646,"PRODUCE"
"BLANQUEADOR",90607,41655820646,"GROCERY"
"SALCHICHAS",10463571,35003630682,"MEAT-PCKGD"
"ESCOBAS",6876743,41655820646,"DRUG GM"
"PASTEL",354984,30178790946,"PASTRY"
"PASTEL",359698,30754188706,"PASTRY"
"PASTEL",10211670,40771486937,"PASTRY"
"PASTEL",32247,32209327507,"PASTRY"
"CARAMELO",124888,35003630682,"DRUG GM"
"CARAMELO",123037,27471976071,"DRUG GM"
"CARAMELO",155735,40463326886,"DRUG GM"
"CARAMELO",225225,31544502476,"DRUG GM"
"CARAMELO",40479,32718722056,"DRUG GM"
"CARAMELO",10212301,27771857605,"DRUG GM"
"CARAMELO",79736,32718722056,"DRUG GM"
"CARAMELO",10212300,27771857605,"DRUG GM"
"JUGOS",32457,27471976071,"GROCERY"
"JUGOS",395234,32209327507,"GROCERY"
"JUGOS",253391,41881398493,"GROCERY"
"JUGOS",86690,40439012272,"GROCERY"
"CARBON",57792,32733326941,"DRUG GM"
"CARBON",57792,29776315965,"DRUG GM"
"CARBON",13078140,32733326941,"DRUG GM"
"QUESO",43611,40414667703,"GROCERY"
"QUESO",69982,29513422261,"GROCERY"
"QUESO",101922,28071976389,"GROCERY"
"QUESO",46154,32209327507,"GROCERY"
"QUESO",6472672,31204545817,"GROCERY"
"QUESO",38085,29531116865,"GROCERY"
"QUESO",89509,29186005963,"GROCERY"
"QUESO",359526,27496106798,"GROCERY"
"QUESO",69982,31911155580,"GROCERY"
"QUESO",101922,40499462973,"GROCERY"
"QUESO",6472672,33682991526,"GROCERY"
"QUESO",45372,30590802826,"GROCERY"
"QUESO",69982,30912300033,"GROCERY"
"QUESO",52641,32826516981,"GROCERY"
"QUESO",359707,33170877635,"GROCERY"
"QUESO",79289,31363375004,"GROCERY"
"QUESO",46370,27288377026,"GROCERY"
"QUESO",6472672,30178790946,"GROCERY"
"QUESO",159721,29513422261,"GROCERY"
"QUESO",6472672,40414667703,"GROCERY"
"QUESOS",359096,31427002805,"DELI"
"QUESOS",359096,32496221577,"DELI"
"QUESOS",359096,35488996868,"DELI"
"POLLO",269894,42065993503,"MEAT"
"POLLO",384912,40439012272,"MEAT"
"POLLO",412400,29302837658,"MEAT"
"POLLO",348386,29144608214,"MEAT"
"POLLO",269894,40177228126,"MEAT"
"CIGARRILLOS",257593,32718722056,"DRUG GM"
"CIGARRILLOS",230509,32718722056,"DRUG GM"
"GRIPE",429541,30590802826,"DRUG GM"
"GRIPE",8025867,35704195124,"DRUG GM"
"GRIPE",54243,30590802826,"DRUG GM"
"CEREAL",63480,30541077983,"GROCERY"
"CEREAL",51202,30945992558,"GROCERY"
"CEREAL",6983017,30945992558,"GROCERY"
"CEREAL",51202,31427002805,"GROCERY"
"CONDIMENTOS",89865,29531116865,"GROCERY"
"SNACKS",385240,31806687698,"GROCERY"
"SNACKS",10287524,29814087567,"GROCERY"
"SNACKS",12600159,31427002805,"GROCERY"
"SNACKS",385240,30541077983,"GROCERY"
"SNACKS",13013785,33682991526,"GROCERY"
"SNACKS",247515,30945992558,"GROCERY"
"SNACKS",252785,27771857605,"GROCERY"
"SNACKS",254820,27771857605,"GROCERY"
"SNACKS",30613,42142311779,"GROCERY"
"GALLETAS",31681,29776315965,"PASTRY"
"CONOS",91631,40414667703,"GROCERY"
"CONOS",6607986,29872791599,"GROCERY"
"CONOS",34703,31806687698,"GROCERY"
"CONOS",112154,40499462973,"GROCERY"
"CONOS",373990,30754188706,"GROCERY"
"CONOS",6607986,30541077983,"GROCERY"
"CONOS",6607986,31363375004,"GROCERY"
"CONOS",96779,30945992558,"GROCERY"
"MAIZ",121018,29186005963,"PRODUCE"
"MAIZ",57462,33170877635,"PRODUCE"
"CUPON",312652,35003630682,"ELECT &PLUMBING"
