"Ticket","Familia"
"016340/T-2","AGUJETAS"
"016481/T-2","AGUJETAS"
"016384/T-2","AGUJETAS"
"016384/T-2","AGUJETAS"
"016967/T-2","AGUJETAS"
"016967/T-2","AGUJETAS"
"017148/T-2","AGUJETAS"
"016321/T-2","AGUJETAS"
"016349/T-2","AGUJETAS"
"016529/T-2","AGUJETAS"
"016525/T-2","AGUJETAS"
"016794/T-2","AGUJETAS"
"016424/T-2","AGUJETAS"
"016350/T-2","AGUJETAS"
"016492/T-2","AGUJETAS"
"016648/T-2","AGUJETAS"
"016792/T-2","AGUJETAS"
"016319/T-2","AGUJETAS"
"017110/T-2","AGUJETAS"
"016798/T-2","AGUJETAS"
"017285/T-2","AGUJETAS"
"016492/T-2","AGUJETAS"
"016362/T-2","AGUJETAS"
"016321/T-2","AGUJETAS"
"016920/T-2","AGUJETAS"
"016321/T-2","AGUJETAS"
"016529/T-2","AGUJETAS"
"016350/T-2","AGUJETAS"
"016817/T-2","AGUJETAS"
"016784/T-2","AGUJETAS"
"016359/T-2","AGUJETAS"
"016429/T-2","AGUJETAS"
"016729/T-2","AGUJETAS"
"016255/T-2","AGUJETAS"
"017215/T-2","AGUJETAS"
"017075/T-2","AGUJETAS"
"016977/T-2","AGUJETAS"
"016255/T-2","AGUJETAS"
"016505/T-2","AGUJETAS"
"016447/T-2","AGUJETAS"
"017189/T-2","AGUJETAS"
"016492/T-2","AGUJETAS"
"017315/T-2","AGUJETAS"
"017039/T-2","AGUJETAS"
"016154/T-2","AGUJETAS"
"017288/T-2","AGUJETAS"
"016547/T-2","AGUJETAS"
"016937/T-2","AGUJETAS"
"016907/T-2","AGUJETAS"
"017235/T-2","AGUJETAS"
"017039/T-2","AGUJETAS"
"016400/T-2","AGUJETAS"
"017341/T-2","AGUJETAS"
"017295/T-2","AGUJETAS"
"016266/T-2","AGUJETAS"
"016327/T-2","AGUJETAS"
"016606/T-2","AGUJETAS"
"016356/T-2","AGUJETAS"
"016833/T-2","AGUJETAS"
"016375/T-2","AGUJETAS"
"016255/T-2","AGUJETAS"
"016363/T-2","AGUJETAS"
"016362/T-2","AGUJETAS"
"016355/T-2","AGUJETAS"
"014126/T-2","MOCHILA"
"013910/T-2","MOCHILA"
"016985/T-2","MOCHILA"
"014943/T-2","MOCHILA"
"014193/T-2","MOCHILA"
"016927/T-2","MOCHILA"
"016609/T-2","MOCHILA"
"014216/T-2","MOCHILA"
"016964/T-2","MOCHILA"
"012012/T-2","MOCHILA"
"011206/T-2","MOCHILA"
"012631/T-2","MOCHILA"
"015421/T-2","MOCHILA"
"013203/T-2","MOCHILA"
"015618/T-2","MOCHILA"
"015036/T-2","MOCHILA"
"015638/T-2","MOCHILA"
"016069/T-2","MOCHILA"
"013718/T-2","MOCHILA"
"015685/T-2","MOCHILA"
"013691/T-2","MOCHILA"
"017045/T-2","MOCHILA"
"014408/T-2","MOCHILA"
"015325/T-2","MOCHILA"
"015708/T-2","MOCHILA"
"016480/T-2","MOCHILA"
"015736/T-2","MOCHILA"
"013783/T-2","MOCHILA"
"017268/T-2","MOCHILA"
"013698/T-2","MOCHILA"
"015862/T-2","MOCHILA"
"015748/T-2","MOCHILA"
"012029/T-2","MOCHILA"
"015666/T-2","MOCHILA"
"016659/T-2","MOCHILA"
"016520/T-2","MOCHILA"
"015196/T-2","MOCHILA"
"016254/T-2","MOCHILA"
"011382/T-2","MOCHILA"
"015170/T-2","MOCHILA"
"015691/T-2","MOCHILA"
"014899/T-2","MOCHILA"
"015682/T-2","MOCHILA"
"016822/T-2","MOCHILA"
"012946/T-2","MOCHILA"
"017151/T-2","MOCHILA"
"015709/T-2","MOCHILA"
"015563/T-2","MOCHILA"
"014233/T-2","MOCHILA"
"016817/T-2","MOCHILA"
"016461/T-2","MOCHILA"
"015123/T-2","MOCHILA"
"016564/T-2","MOCHILA"
"013675/T-2","MOCHILA"
"012166/T-2","MOCHILA"
"013757/T-2","MOCHILA"
"013721/T-2","MOCHILA"
"013673/T-2","MOCHILA"
"013697/T-2","MOCHILA"
"015330/T-2","MOCHILA"
"014444/T-2","MOCHILA"
"013263/T-2","MOCHILA"
"015274/T-2","MOCHILA"
"015741/T-2","MOCHILA"
"016970/T-2","MOCHILA"
"016283/T-2","MOCHILA"
"015077/T-2","MOCHILA"
"016499/T-2","MOCHILA"
"015001/T-2","MOCHILA"
"013093/T-2","MOCHILA"
"016844/T-2","MOCHILA"
"017173/T-2","MOCHILA"
"016719/T-2","MOCHILA"
"014060/T-2","MOCHILA"
"013948/T-2","MOCHILA"
"014646/T-2","MOCHILA"
"015342/T-2","MOCHILA"
"016983/T-2","MOCHILA"
"017014/T-2","MOCHILA"
"013650/T-2","MOCHILA"
"017285/T-2","MOCHILA"
"015671/T-2","MOCHILA"
"011976/T-2","MOCHILA"
"016661/T-2","MOCHILA"
"014091/T-2","MOCHILA"
"016510/T-2","MOCHILA"
"014413/T-2","MOCHILA"
"014378/T-2","MOCHILA"
"013680/T-2","MOCHILA"
"014123/T-2","MOCHILA"
"016718/T-2","MOCHILA"
"014765/T-2","MOCHILA"
"013977/T-2","MOCHILA"
"016660/T-2","MOCHILA"
"012372/T-2","MOCHILA"
"014377/T-2","MOCHILA"
"015324/T-2","MOCHILA"
"013715/T-2","BALERINAS"
"011578/T-2","BALERINAS"
"013013/T-2","BALERINAS"
"017321/T-2","BALERINAS"
"013438/T-2","BALERINAS"
"013714/T-2","BALERINAS"
"012711/T-2","BALERINAS"
"011754/T-2","BALERINAS"
"012796/T-2","BALERINAS"
"012708/T-2","BALERINAS"
